iter	MultiClass
0	1.299035458
1	1.226322441
2	1.164612083
3	1.114862876
4	1.072429673
5	1.035749499
6	1.002922876
7	0.9752104358
8	0.949599224
9	0.9270765455
10	0.9067165006
11	0.8894438268
12	0.8739626035
13	0.8601411794
14	0.8458243464
15	0.8331823657
16	0.82127846
17	0.8115603163
18	0.8023130931
19	0.7939157123
20	0.7863605742
21	0.7789714777
22	0.7724690489
23	0.766309563
24	0.7607540521
25	0.7556678536
26	0.7509509445
27	0.7468056483
28	0.7422553519
29	0.7386903561
30	0.7349520918
31	0.7318651861
32	0.7297612719
33	0.7274515073
34	0.7244807072
35	0.7220211369
36	0.7195277723
37	0.7171585243
38	0.7146179529
39	0.7126602718
40	0.7104985799
41	0.7085610591
42	0.7069694107
43	0.7057309892
44	0.7044310868
45	0.7024667947
46	0.7012859279
47	0.6997467072
48	0.6985022242
49	0.6976998648
50	0.6968489165
51	0.6952523282
52	0.6942571578
53	0.6930942475
54	0.6921985264
55	0.6914009524
56	0.6905859165
57	0.6898041705
58	0.6889794022
59	0.6879994352
60	0.6871175618
61	0.6865936338
62	0.6853936631
63	0.684549549
64	0.683650747
65	0.6830376087
66	0.6824051325
67	0.6815736008
68	0.6807985327
69	0.6800806373
70	0.6790284957
71	0.6783665915
72	0.6777491906
73	0.677282466
74	0.676503766
75	0.6759927189
76	0.6757005088
77	0.6753124838
78	0.6744537194
79	0.67368582
80	0.6730151831
81	0.672499542
82	0.6718191378
83	0.6713694539
84	0.6707621667
85	0.6699702918
86	0.6695405893
87	0.6689727572
88	0.6685896281
89	0.6680195103
90	0.6676130765
91	0.6673520264
92	0.6669833997
93	0.6660797931
94	0.6656522698
95	0.6652066532
96	0.6644650355
97	0.6641723907
98	0.6637850109
99	0.6635559785
100	0.6631463023
101	0.6627389765
102	0.6622822414
103	0.6619116096
104	0.6614024439
105	0.6610939945
106	0.6606068114
107	0.6601378177
108	0.659754453
109	0.6593345519
110	0.6587882975
111	0.6583987963
112	0.657878182
113	0.6576007183
114	0.6573527244
115	0.6566118494
116	0.6560994764
117	0.6555986572
118	0.6549822134
119	0.6546592342
120	0.6542259759
121	0.6537766878
122	0.6534652777
123	0.6528073503
124	0.6523442122
125	0.6518698123
126	0.6516885446
127	0.651191768
128	0.6508717743
129	0.6506334299
130	0.6503727475
131	0.6496995267
132	0.6493646328
133	0.6490266362
134	0.6486145103
135	0.648239033
136	0.6477909611
137	0.6472751451
138	0.6468403174
139	0.6464201265
140	0.6460752575
141	0.6457537886
142	0.6453159398
143	0.6450919055
144	0.6448262176
145	0.6444722376
146	0.6440712337
147	0.6433719564
148	0.6427789907
149	0.6424624077
150	0.6421619204
151	0.6417717194
152	0.6413741291
153	0.640911797
154	0.6406247163
155	0.6402612124
156	0.6399386597
157	0.6397490925
158	0.6393084902
159	0.6388784954
160	0.6386496121
161	0.6384362528
162	0.63808851
163	0.6378503065
164	0.6375371757
165	0.637289054
166	0.6369985601
167	0.6365833445
168	0.6362521524
169	0.635917345
170	0.6357184069
171	0.6354668256
172	0.6350839928
173	0.6348294678
174	0.63448952
175	0.6342595256
176	0.6337153554
177	0.633474129
178	0.6331683351
179	0.6328109551
180	0.6324840585
181	0.632131431
182	0.6319143827
183	0.6314766655
184	0.6311719943
185	0.6308090614
186	0.6305285026
187	0.6301354566
188	0.6298907851
189	0.629673237
190	0.6294024524
191	0.628820874
192	0.6285331646
193	0.6283095297
194	0.6280152081
195	0.6277271474
196	0.6274866393
197	0.6271135267
198	0.6267981637
199	0.6263795052
200	0.6259602008
201	0.6255871586
202	0.6252142396
203	0.6249130648
204	0.6244061853
205	0.6240906629
206	0.6238373255
207	0.6235670375
208	0.6232478563
209	0.622911198
210	0.6225346033
211	0.6220744121
212	0.6217861007
213	0.6215647651
214	0.6211594995
215	0.6209062628
216	0.6206761015
217	0.6204334153
218	0.6200133461
219	0.6196959983
220	0.619488293
221	0.6192772504
222	0.6189133657
223	0.6186484375
224	0.618424196
225	0.6180815218
226	0.6178661949
227	0.6176440085
228	0.6172064952
229	0.6168453494
230	0.6163992183
231	0.6160828384
232	0.6154799927
233	0.6152483123
234	0.6149370884
235	0.6145766323
236	0.61428934
237	0.6139620707
238	0.613575158
239	0.613388391
240	0.6131060517
241	0.6127718235
242	0.6122454546
243	0.611978006
244	0.6117632169
245	0.6114251402
246	0.611000204
247	0.6107257105
248	0.6103641464
249	0.6100088494
250	0.6094127084
251	0.6090398136
252	0.6086908913
253	0.6084818069
254	0.6083171701
255	0.6079709178
256	0.6077040107
257	0.6074736345
258	0.6072297475
259	0.6068622784
260	0.6066627336
261	0.606417342
262	0.6061302368
263	0.6056514499
264	0.6053103458
265	0.605002257
266	0.6046831735
267	0.6044142754
268	0.6041682974
269	0.6038683323
270	0.6036576261
271	0.6033713916
272	0.6028850761
273	0.6026743893
274	0.6023576991
275	0.6020306963
276	0.6017625547
277	0.6014182131
278	0.601231233
279	0.6010048418
280	0.6006471066
