iter	Passed	Remaining
0	167	46951
1	338	47273
2	512	47451
3	699	48429
4	876	48376
5	1058	48528
6	1228	48068
7	1400	47805
8	1575	47622
9	1753	47517
10	1928	47326
11	2102	47123
12	2272	46844
13	2444	46623
14	2616	46399
15	2794	46281
16	2972	46164
17	3153	46077
18	3325	45852
19	3497	45648
20	3676	45522
21	3853	45363
22	4037	45284
23	4206	45045
24	4386	44920
25	4559	44722
26	4735	44552
27	4908	44352
28	5086	44196
29	5261	44020
30	5433	43822
31	5602	43591
32	5784	43470
33	5957	43279
34	6133	43109
35	6307	42926
36	6483	42756
37	6660	42593
38	6840	42449
39	7016	42277
40	7184	42055
41	7356	41863
42	7532	41693
43	7712	41541
44	7886	41358
45	8063	41193
46	8238	41017
47	8419	40869
48	8595	40696
49	8760	40474
50	8942	40330
51	9116	40148
52	9295	39990
53	9483	39867
54	9663	39710
55	9838	39530
56	10016	39364
57	10190	39182
58	10361	38987
59	10534	38803
60	10712	38634
61	10888	38459
62	11073	38319
63	11262	38187
64	11443	38028
65	11633	37898
66	11814	37736
67	11990	37558
68	12171	37396
69	12342	37202
70	12515	37017
71	12685	36822
72	12860	36644
73	13035	36462
74	13215	36299
75	13393	36125
76	13560	35925
77	13727	35726
78	13916	35583
79	14093	35408
80	14268	35231
81	14450	35069
82	14627	34894
83	14795	34700
84	14976	34535
85	15145	34342
86	15317	34156
87	15497	33988
88	15671	33808
89	15854	33646
90	16026	33461
91	16197	33275
92	16370	33092
93	16543	32910
94	16714	32725
95	16906	32579
96	17089	32418
97	17275	32260
98	17465	32107
99	17651	31949
100	17843	31800
101	18050	31677
102	18235	31513
103	18414	31340
104	18607	31189
105	18788	31019
106	18983	30869
107	19160	30692
108	19330	30503
109	19517	30341
110	19697	30167
111	19874	29989
112	20051	29811
113	20221	29622
114	20389	29431
115	20571	29261
116	20750	29085
117	20926	28907
118	21109	28737
119	21283	28554
120	21460	28377
121	21636	28198
122	21812	28019
123	22019	27880
124	22221	27732
125	22422	27582
126	22605	27410
127	22786	27236
128	22970	27066
129	23139	26877
130	23312	26694
131	23487	26512
132	23655	26323
133	23836	26148
134	24010	25967
135	24185	25785
136	24363	25608
137	24545	25434
138	24719	25253
139	24892	25069
140	25063	24885
141	25234	24701
142	25413	24525
143	25583	24339
144	25752	24153
145	25925	23972
146	26101	23793
147	26286	23622
148	26466	23446
149	26634	23260
150	26808	23080
151	26981	22898
152	27164	22725
153	27340	22546
154	27517	22368
155	27693	22190
156	27867	22009
157	28052	21838
158	28239	21668
159	28414	21488
160	28583	21304
161	28752	21120
162	28929	20943
163	29102	20762
164	29277	20582
165	29448	20400
166	29622	20221
167	29795	20041
168	29971	19862
169	30140	19679
170	30311	19498
171	30484	19318
172	30673	19149
173	30842	18966
174	31013	18785
175	31184	18604
176	31366	18430
177	31536	18248
178	31710	18069
179	31884	17890
180	32063	17714
181	32242	17538
182	32407	17354
183	32580	17175
184	32755	16997
185	32929	16818
186	33101	16639
187	33282	16464
188	33449	16282
189	33621	16103
190	33787	15920
191	33978	15750
192	34147	15569
193	34318	15390
194	34490	15211
195	34666	15033
196	34840	14855
197	35019	14680
198	35195	14502
199	35370	14325
200	35548	14148
201	35722	13970
202	35899	13793
203	36083	13619
204	36263	13444
205	36436	13265
206	36607	13086
207	36780	12908
208	36959	12732
209	37135	12555
210	37312	12378
211	37499	12205
212	37674	12027
213	37846	11849
214	38028	11674
215	38199	11495
216	38378	11319
217	38563	11144
218	38742	10968
219	38918	10791
220	39088	10612
221	39260	10434
222	39437	10257
223	39606	10078
224	39782	9901
225	39964	9725
226	40137	9548
227	40312	9370
228	40487	9193
229	40667	9017
230	40845	8841
231	41021	8664
232	41202	8488
233	41371	8309
234	41548	8132
235	41724	7955
236	41903	7779
237	42080	7602
238	42259	7426
239	42432	7248
240	42607	7071
241	42783	6894
242	42967	6719
243	43135	6541
244	43307	6363
245	43483	6186
246	43659	6009
247	43832	5832
248	44011	5656
249	44188	5479
250	44372	5303
251	44552	5127
252	44729	4950
253	44909	4773
254	45079	4596
255	45250	4418
256	45424	4241
257	45597	4064
258	45770	3887
259	45943	3710
260	46115	3533
261	46295	3357
262	46466	3180
263	46646	3003
264	46824	2827
265	46998	2650
266	47173	2473
267	47347	2296
268	47520	2119
269	47703	1943
270	47873	1766
271	48050	1589
272	48228	1413
273	48411	1236
274	48586	1060
275	48765	883
276	48943	706
277	49118	530
278	49285	353
279	49459	176
280	49635	0
